"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"QuestTrader_ADMIN_QUEST_ID_OPTIONAL","Quest ID or Title (blank allowed)","Quest ID or Title (blank allowed)","ID nebo název úkolu (prázdné povoleno)","Quest-ID oder Titel (leer erlaubt)","ID или название задания (пустое разрешено)","ID lub tytuł zadania (puste dozwolone)","Küldetés ID vagy cím (üres is lehet)","ID o titolo missione (vuoto consentito)","ID o título de misión (vacío permitido)","ID ou titre de quête (vide autorisé)","任務 ID 或標題（可留空）","クエストIDまたはタイトル（空欄可）","ID ou título da quest (vazio permitido)","任务 ID 或标题（可留空）"
"QuestTrader_ADMIN_QUEST_TITLE","Title","Title","Nazev","Titel","Название","Tytul","Cim","Titolo","Titulo","Titre","標題","タイトル","Título","标题"
"QuestTrader_ADMIN_QUEST_TRADER","Trader","Trader","Obchodnik","Haendler","Торговец","Handlarz","Kereskedo","Commerciante","Comerciante","Marchand","商人","トレーダー","NPC","商人"
"QuestTrader_ADMIN_QUEST_TYPE","Type","Type","Typ","Typ","Тип","Typ","Tipus","Tipo","Tipo","Type","類型","タイプ","Tipo","类型"
"QuestTrader_ADMIN_QUEST_DELIVERY_TRADER","Delivery","Delivery","Doruceni","Lieferung","Доставка","Dostawa","Szallitas","Consegna","Entrega","Livraison","交付","配達","Entrega","交付"
"QuestTrader_ADMIN_QUEST_TASK_CLASS","Objective","Objective","Cil","Ziel","Цель","Cel","Cel","Obiettivo","Objetivo","Objectif","目標","目標","Objetivo","目标"
"QuestTrader_ADMIN_QUEST_AMOUNT","Qty","Qty","Mnoz","Menge","Кол-во","Ilosc","Db","Qtà","Cant","Qté","數量","数","Qtd","数量"
"QuestTrader_ADMIN_QUEST_REWARD","Reward","Reward","Odmena","Belohnung","Награда","Nagroda","Jutalom","Ricompensa","Recompensa","Recompense","獎勵","報酬","Recompensa","奖励"
"QuestTrader_ADMIN_QUEST_REWARD_AMOUNT","Qty","Qty","Mnoz","Menge","Кол-во","Ilosc","Db","Qtà","Cant","Qté","數量","数","Qtd","数量"
"QuestTrader_ADMIN_QUEST_REPEATABLE","Repeat","Repeat","Opakovat","Wiederholen","Повтор","Powtarzalny","Ismetelheto","Ripeti","Repetir","Repeter","重複","繰返し","Repetir","重复"
"QuestTrader_ADMIN_QUEST_COOLDOWN","Cooldown","Cooldown","Cooldown","Abklingzeit","Перезарядка","Cooldown","Cooldown","Cooldown","Enfriamiento","Recharge","冷卻","クールダウン","Recarga","冷却"
"QuestTrader_ADMIN_QUEST_DELIVERY_ITEM","Delivery item","Delivery item","Dorucovany predmet","Liefergegenstand","Предмет доставки","Przedmiot dostawy","Szallitando targy","Oggetto consegna","Objeto entrega","Objet livraison","交付物品","配達アイテム","Item de entrega","交付物品"
"QuestTrader_ADMIN_QUEST_PREREQS","Prereqs","Prereqs","Predpoklady","Voraussetzungen","Требования","Wymagania","Elokovetelmenyek","Prerequisiti","Requisitos","Prerequis","前置","前提","Pré-reqs","前置"
"QuestTrader_ADMIN_QUEST_ACCEPT_MESSAGE","Accept msg","Accept msg","Zprava prijeti","Annahme-Text","Текст принятия","Tekst przyjecia","Elfogadas uzenet","Msg accetta","Msg aceptar","Msg acceptation","接受訊息","受諾文","Msg aceitar","接受消息"
"QuestTrader_ADMIN_QUEST_REWARD_MESSAGE","Reward msg","Reward msg","Zprava odmeny","Belohnungs-Text","Текст награды","Tekst nagrody","Jutalom uzenet","Msg ricompensa","Msg recompensa","Msg recompense","獎勵訊息","報酬文","Msg recompensa","奖励消息"
"QuestTrader_ADMIN_QUEST_SPAWN_ITEM","Spawn item","Spawn item","Spawn predmet","Spawn-Item","Спавн предмет","Spawn item","Spawn targy","Spawn item","Spawn item","Spawn item","生成物品","スポーンアイテム","Item spawn","生成物品"
"QuestTrader_ADMIN_QUEST_SPAWN_POS","Spawn pos","Spawn pos","Spawn poz","Spawn-Pos","Позиция","Poz spawnu","Spawn poz","Pos spawn","Pos spawn","Pos spawn","生成位置","スポーン位置","Pos spawn","生成位置"
"QuestTrader_ADMIN_QUEST_NEW","NEW","NEW","NOVY","NEU","НОВОЕ","NOWY","UJ","NUOVA","NUEVA","NOUVELLE","新增","新規","NOVA","新增"
"QuestTrader_ADMIN_QUEST_SAVE","SAVE","SAVE","ULOZIT","SPEICHERN","СОХРАНИТЬ","ZAPISZ","MENTES","SALVA","GUARDAR","ENREGISTRER","保存","保存","SALVAR","保存"
"QuestTrader_ADMIN_QUEST_REFRESH","REFRESH QUESTS","REFRESH QUESTS","OBNOVIT UKOLY","QUESTS AKTUALISIEREN","ОБНОВИТЬ ЗАДАНИЯ","ODSWIEZ QUESTY","KULDETESEK FRISSITESE","AGGIORNA MISSIONI","ACTUALIZAR MISIONES","ACTUALISER QUETES","刷新任務","クエスト更新","ATUALIZAR QUESTS","刷新任务"
"QuestTrader_ADMIN_QUESTS_LOADED","Quests loaded:","Quests loaded:","Ukoly nacteny:","Quests geladen:","Задания загружены:","Questy zaladowane:","Kuldetesek betoltve:","Missioni caricate:","Misiones cargadas:","Quetes chargees :","任務已載入：","クエスト読み込み:","Quests carregadas:","任务已加载："
"QuestTrader_ADMIN_QUEST_REQUIRED","Quest ID, title and trader are required.","Quest ID, title and trader are required.","ID ukolu, nazev a obchodnik jsou povinne.","Quest-ID, Titel und Haendler sind erforderlich.","Нужны ID задания, название и торговец.","ID questa, tytul i handlarz sa wymagane.","Kuldetes ID, cim es kereskedo kotelezo.","ID missione, titolo e commerciante obbligatori.","ID, titulo y comerciante son obligatorios.","ID, titre et marchand requis.","需要任務ID、標題和商人。","クエストID、タイトル、トレーダーが必要です。","ID da quest, título e NPC são obrigatórios.","需要任务ID、标题和商人。"
"QuestTrader_ADMIN_QUEST_SAVE_REQUESTED","Quest save requested...","Quest save requested...","Ulozeni ukolu vyzadano...","Quest-Speicherung angefordert...","Запрошено сохранение задания...","Zapis questa zazadany...","Kuldetes mentese kerve...","Salvataggio missione richiesto...","Guardado de mision solicitado...","Enregistrement de quete demande...","已請求保存任務...","クエスト保存を要求しました...","Salvamento da quest solicitado...","已请求保存任务..."
"QuestTrader_ADMIN_QUEST_HINT","Type: 0 Collect, 1 Kill, 2 Deliver. Objectives: class|amount|description|entity; Rewards: class|amount; Prereqs: quest_id;quest_id.","Type: 0 Collect, 1 Kill, 2 Deliver. Objectives: class|amount|description|entity; Rewards: class|amount; Prereqs: quest_id;quest_id.","Typ: 0 Sber, 1 Zabiti, 2 Doruceni. Cile: class|mnoz|popis|entity; Odmeny: class|mnoz; Predpoklady: quest_id;quest_id.","Typ: 0 Sammeln, 1 Toeten, 2 Liefern. Ziele: class|menge|text|entity; Belohnungen: class|menge; Voraussetzungen: quest_id;quest_id.","Тип: 0 сбор, 1 убийство, 2 доставка. Цели: class|кол-во|описание|entity; Награды: class|кол-во; Требования: quest_id;quest_id.","Typ: 0 Collect, 1 Kill, 2 Deliver. Cele: class|ilosc|opis|entity; Nagrody: class|ilosc; Wymagania: quest_id;quest_id.","Tipus: 0 Collect, 1 Kill, 2 Deliver. Celok: class|db|leiras|entity; Jutalmak: class|db; Prereq: quest_id;quest_id.","Tipo: 0 Raccogli, 1 Uccidi, 2 Consegna. Obiettivi: class|quantita|descrizione|entity; Ricompense: class|quantita; Prereq: quest_id;quest_id.","Tipo: 0 recoger, 1 matar, 2 entregar. Objetivos: class|cantidad|descripcion|entity; Recompensas: class|cantidad; Requisitos: quest_id;quest_id.","Type : 0 Collecte, 1 Kill, 2 Livraison. Objectifs: class|qte|description|entity; Recompenses: class|qte; Prerequis: quest_id;quest_id.","類型: 0收集,1擊殺,2交付。目標: class|數量|描述|entity; 獎勵: class|數量; 前置: quest_id;quest_id.","タイプ: 0収集 1討伐 2配達。目標: class|数|説明|entity; 報酬: class|数; 前提: quest_id;quest_id.","Tipo: 0 Coletar, 1 Eliminar, 2 Entregar. Objetivos: class|qtd|descrição|entidade; Recompensas: class|qtd; Pré-reqs: quest_id;quest_id.","类型: 0收集,1击杀,2交付。目标: class|数量|描述|entity; 奖励: class|数量; 前置: quest_id;quest_id。"
"QuestTrader_ADMIN_RELOAD","RELOAD","RELOAD","ZNOVU NAČÍST","NEU LADEN","ПЕРЕЗАГРУЗИТЬ","PRZEŁADUJ","ÚJRATÖLTÉS","RICARICA","RECARGAR","RECHARGER","重新載入","再読み込み","RECARREGAR","重新加载"
"QuestTrader_ADMIN_RESPAWN_NPCS","RESPAWN NPCS","RESPAWN NPCS","RESPAWN NPC","NPCS RESPAWNEN","ВОЗРОДИТЬ NPC","ODRODŹ NPC","NPC-K ÚJRASPAWNOLÁSA","RESPAWN NPC","RESPAWN NPCS","RESPAWN PNJ","重生 NPC","NPCをリスポーン","RESPAWN NPCS","重生 NPC"
"QuestTrader_ADMIN_REFRESH_LOG","REFRESH LOG","REFRESH LOG","OBNOVIT LOG","PROTOKOLL AKTUALISIEREN","ОБНОВИТЬ ЛОГ","ODŚWIEŻ LOG","NAPLÓ FRISSÍTÉSE","AGGIORNA LOG","ACTUALIZAR REGISTRO","ACTUALISER LE JOURNAL","重新整理記錄","ログを更新","ATUALIZAR LOG","刷新日志"
"QuestTrader_ADMIN_COMPLETE_QUEST","COMPLETE QUEST","COMPLETE QUEST","DOKONČIT ÚKOL","QUEST ABSCHLIESSEN","ЗАВЕРШИТЬ ЗАДАНИЕ","UKOŃCZ ZADANIE","KÜLDETÉS BEFEJEZÉSE","COMPLETA MISSIONE","COMPLETAR MISIÓN","TERMINER LA QUÊTE","完成任務","クエストを完了","CONCLUIR QUEST","完成任务"
"QuestTrader_ADMIN_RESET_QUEST","RESET QUEST","RESET QUEST","RESETOVAT ÚKOL","QUEST ZURÜCKSETZEN","СБРОСИТЬ ЗАДАНИЕ","RESETUJ ZADANIE","KÜLDETÉS VISSZAÁLLÍTÁSA","RESETTA MISSIONE","REINICIAR MISIÓN","RÉINITIALISER LA QUÊTE","重置任務","クエストをリセット","RESETAR QUEST","重置任务"
"QuestTrader_ADMIN_WIPE_PLAYER","WIPE PLAYER","WIPE PLAYER","VYMAZAT HRÁČE","SPIELER LÖSCHEN","ОЧИСТИТЬ ИГРОКА","WYCZYŚĆ GRACZA","JÁTÉKOS TÖRLÉSE","AZZERA GIOCATORE","BORRAR JUGADOR","EFFACER JOUEUR","清除玩家","プレイヤーを消去","LIMPAR JOGADOR","清除玩家"
"QuestTrader_ADMIN_COPY_STEAMID","COPY","COPY","KOPÍROVAT","KOPIEREN","КОПИРОВАТЬ","KOPIUJ","MÁSOLÁS","COPIA","COPIAR","COPIER","複製","コピー","COPIAR","复制"
"QuestTrader_ADMIN_SELECT_PLAYER","Select a player first.","Select a player first.","Nejprve vyber hráče.","Wähle zuerst einen Spieler.","Сначала выберите игрока.","Najpierw wybierz gracza.","Először válassz játékost.","Seleziona prima un giocatore.","Selecciona primero un jugador.","Sélectionnez d'abord un joueur.","請先選擇玩家。","先にプレイヤーを選択してください。","Selecione um jogador primeiro.","请先选择玩家。"
"QuestTrader_ADMIN_STEAMID_EMPTY","Selected player has no SteamID64.","Selected player has no SteamID64.","Vybraný hráč nemá SteamID64.","Der ausgewählte Spieler hat keine SteamID64.","У выбранного игрока нет SteamID64.","Wybrany gracz nie ma SteamID64.","A kiválasztott játékosnak nincs SteamID64 azonosítója.","Il giocatore selezionato non ha SteamID64.","El jugador seleccionado no tiene SteamID64.","Le joueur sélectionné n'a pas de SteamID64.","所選玩家沒有 SteamID64。","選択したプレイヤーにSteamID64がありません。","O jogador selecionado não possui SteamID64.","所选玩家没有 SteamID64。"
"QuestTrader_ADMIN_STEAMID_COPIED","SteamID64 copied","SteamID64 copied","SteamID64 zkopírováno","SteamID64 kopiert","SteamID64 скопирован","SteamID64 skopiowane","SteamID64 másolva","SteamID64 copiato","SteamID64 copiado","SteamID64 copié","SteamID64 已複製","SteamID64をコピーしました","SteamID64 copiada","SteamID64 已复制"
"QuestTrader_ADMIN_ACCESS_DENIED","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","QuestTrader admin access denied.","Acesso de admin QuestTrader negado.","QuestTrader admin access denied."
"QuestTrader_ADMIN_ALL_RESET","All player quest states reset.","All player quest states reset.","All player quest states reset.","All player quest states reset.","All player quest states reset.","All player quest states reset.","All player quest states reset.","All player quest states reset.","All player quest states reset.","All player quest states reset.","All player quest states reset.","All player quest states reset.","Todos os estados de quests do jogador foram resetados.","All player quest states reset."
"QuestTrader_ADMIN_QUEST_RESET","Quest reset.","Quest reset.","Quest reset.","Quest reset.","Quest reset.","Quest reset.","Quest reset.","Quest reset.","Quest reset.","Quest reset.","Quest reset.","Quest reset.","Quest resetada.","Quest reset."
"QuestTrader_ADMIN_QUEST_COMPLETED_PLAYER","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest completed for player.","Quest concluída para o jogador.","Quest completed for player."
"QuestTrader_ADMIN_INVALID_QUEST","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Could not complete quest. Check quest ID/title and player state.","Não foi possível concluir a quest. Verifique o ID/título e o estado do jogador.","Could not complete quest. Check quest ID/title and player state."
"QuestTrader_ADMIN_PLAYER_WIPED","Player quests wiped.","Player quests wiped.","Player quests wiped.","Player quests wiped.","Player quests wiped.","Player quests wiped.","Player quests wiped.","Player quests wiped.","Player quests wiped.","Player quests wiped.","Player quests wiped.","Player quests wiped.","Quests do jogador limpas.","Player quests wiped."
"QuestTrader_ADMIN_CONFIG_RELOADED","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","QuestTrader config reloaded.","Configuração do QuestTrader recarregada.","QuestTrader config reloaded."
"QuestTrader_ADMIN_CONFIG_RELOAD_FAILED","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","QuestTrader config reload failed. Check logs.","Falha ao recarregar a configuração do QuestTrader. Verifique os logs.","QuestTrader config reload failed. Check logs."
"QuestTrader_ADMIN_NPC_RESPAWN_STARTED","NPC respawn started.","NPC respawn started.","NPC respawn started.","NPC respawn started.","NPC respawn started.","NPC respawn started.","NPC respawn started.","NPC respawn started.","NPC respawn started.","NPC respawn started.","NPC respawn started.","NPC respawn started.","Respawn dos NPCs iniciado.","NPC respawn started."
"QuestTrader_ADMIN_LOADED","Admin panel loaded. Requesting data...","Admin panel loaded. Requesting data...","Admin panel načten. Vyžaduji data...","Admin-Panel geladen. Daten werden angefordert...","Панель администратора загружена. Запрос данных...","Panel admina załadowany. Pobieranie danych...","Admin panel betöltve. Adatok lekérése...","Pannello admin caricato. Richiesta dati...","Panel admin cargado. Solicitando datos...","Panneau admin chargé. Demande de données...","管理面板已載入。正在請求資料...","管理パネルを読み込みました。データを要求中...","Painel admin carregado. Solicitando dados...","管理面板已加载。正在请求数据..."
"QuestTrader_ADMIN_ONLINE_PLAYERS","online player(s)","online player(s)","hráč(ů) online","Spieler online","игрок(ов) онлайн","gracz(e) online","online játékos","giocatore/i online","jugador(es) en línea","joueur(s) en ligne","名玩家在線","オンラインプレイヤー","jogador(es) online","名玩家在线"
"QuestTrader_ADMIN_LOADED_PREFIX","Loaded","Loaded","Načteno","Geladen","Загружено","Załadowano","Betöltve","Caricato","Cargado","Chargé","已載入","読み込み済み","Carregados","已加载"
"QuestTrader_ADMIN_LOG_REFRESHED","Log refreshed","Log refreshed","Log obnoven","Protokoll aktualisiert","Лог обновлён","Log odświeżony","Napló frissítve","Log aggiornato","Registro actualizado","Journal actualisé","記錄已重新整理","ログを更新しました","Log atualizado","日志已刷新"
"QuestTrader_ADMIN_LINES","lines","lines","řádků","Zeilen","строк","linie","sor","righe","líneas","lignes","行","行","linhas","行"
"QuestTrader_ADMIN_REFRESHING_LOG","Refreshing log...","Refreshing log...","Obnovuji log...","Protokoll wird aktualisiert...","Обновление лога...","Odświeżanie logu...","Napló frissítése...","Aggiornamento log...","Actualizando registro...","Actualisation du journal...","正在重新整理記錄...","ログを更新中...","Atualizando log...","正在刷新日志..."
"QuestTrader_ADMIN_RELOAD_REQUESTED","Config reload requested...","Config reload requested...","Vyžádáno znovunačtení konfigurace...","Neuladen der Konfiguration angefordert...","Запрошена перезагрузка конфигурации...","Zażądano przeładowania konfiguracji...","Konfiguráció újratöltése kérve...","Ricaricamento configurazione richiesto...","Recarga de configuración solicitada...","Rechargement de la configuration demandé...","已請求重新載入設定...","設定の再読み込みを要求しました...","Recarregamento da configuração solicitado...","已请求重新加载配置..."
"QuestTrader_ADMIN_RESPAWN_REQUESTED","NPC respawn requested...","NPC respawn requested...","Vyžádán respawn NPC...","NPC-Respawn angefordert...","Запрошено возрождение NPC...","Zażądano odrodzenia NPC...","NPC újraspawnolása kérve...","Respawn NPC richiesto...","Respawn de NPC solicitado...","Respawn des PNJ demandé...","已請求 NPC 重生...","NPCのリスポーンを要求しました...","Respawn dos NPCs solicitado...","已请求 NPC 重生..."
"QuestTrader_ADMIN_ENTER_QUEST_ID","Enter a Quest ID in the input field first.","Enter a Quest ID in the input field first.","Nejprve zadej ID úkolu do vstupního pole.","Gib zuerst eine Quest-ID in das Eingabefeld ein.","Сначала введите ID задания в поле ввода.","Najpierw wpisz ID zadania w polu wejściowym.","Először add meg a küldetés ID-t a beviteli mezőben.","Inserisci prima un ID missione nel campo di input.","Introduce primero un ID de misión en el campo de entrada.","Entrez d’abord un ID de quête dans le champ de saisie.","請先在輸入欄位輸入任務 ID。","先に入力欄へクエストIDを入力してください。","Informe um ID de Quest no campo primeiro.","请先在输入框中输入任务 ID。"
"QuestTrader_ADMIN_COMPLETE_DONE","Completed quest for","Completed quest for","Dokončeno úkolu pro","Quest abgeschlossen für","Задание завершено для","Ukończono zadanie dla","Küldetés befejezve ennek:","Missione completata per","Misión completada para","Quête terminée pour","已完成任務：","クエスト完了:","Quest concluída para","已完成任务："
"QuestTrader_ADMIN_RESET_DONE","Reset quest done for","Reset quest done for","Reset úkolu dokončen pro","Quest zurückgesetzt für","Сброс задания выполнен для","Reset zadania wykonany dla","Küldetés visszaállítva ennek:","Reset missione completato per","Reinicio de misión hecho para","Réinitialisation de quête effectuée pour","任務重置完成：","クエストリセット完了:","Reset da quest feito para","任务重置完成："
"QuestTrader_ADMIN_WIPED_DONE","Wiped quests for","Wiped quests for","Úkoly vymazány pro","Quests gelöscht für","Задания очищены для","Wyczyszczono zadania dla","Küldetések törölve ennek:","Missioni azzerate per","Misiones borradas para","Quêtes effacées pour","已清除任務：","クエストを消去:","Quests apagadas para","已清除任务："
"QuestTrader_ADMIN_NAME","Name","Name","Jméno","Name","Имя","Nazwa","Név","Nome","Nombre","Nom","名稱","名前","Nome","名称"
"QuestTrader_ADMIN_UID","UID","UID","UID","UID","UID","UID","UID","UID","UID","UID","UID","UID","UID","UID"
"QuestTrader_ADMIN_STEAMID","SteamID","SteamID","SteamID","SteamID","SteamID","SteamID","SteamID","SteamID","SteamID","SteamID","SteamID","SteamID","SteamID","SteamID"
"QuestTrader_ADMIN_ACTIVE","Active","Active","Aktivní","Aktiv","Активно","Aktywne","Aktív","Attiva","Activa","Active","進行中","進行中","Ativas","进行中"
"QuestTrader_ADMIN_COMPLETED","Completed","Completed","Dokončeno","Abgeschlossen","Завершено","Ukończone","Befejezve","Completata","Completada","Terminée","已完成","完了済み","Concluídas","已完成"
"QuestTrader_OBJECTIVE_READY","Ready to deliver","Ready to deliver","Připraveno k odevzdání","Bereit zur Abgabe","Готово к сдаче","Gotowe do oddania","Leadásra kész","Pronto da consegnare","Listo para entregar","Prêt à livrer","準備交付","配達準備完了","Basta entregar","准备交付"
"QuestTrader_OBJECTIVES_ALL_READY","All collection items are in your inventory. Complete the quest.","All collection items are in your inventory. Complete the quest.","Všechny sběratelské předměty jsou v inventáři. Dokonči quest.","Alle Sammelgegenstände sind in deinem Inventar. Schließe die Quest ab.","Все предметы для сбора находятся в вашем инвентаре. Завершите задание.","Wszystkie przedmioty do zebrania są w ekwipunku. Ukończ zadanie.","Minden gyűjtendő tárgy a leltáradban van. Fejezd be a küldetést.","Tutti gli oggetti da raccogliere sono nel tuo inventario. Completa la missione.","Todos los objetos de recolección están en tu inventario. Completa la misión.","Tous les objets de collecte sont dans votre inventaire. Terminez la quête.","所有收集物品都在你的库存中。完成任务。","収集アイテムはすべてインベントリにあります。クエストを完了してください。","Todos os itens de coleta estão no inventário. Conclua a quest.","所有收集物品都在你的库存中。完成任务。"
"QuestTrader_DELIVERY_ALL_READY","Delivery item is in your inventory. Deliver it to the target trader.","Delivery item is in your inventory. Deliver it to the target trader.","Predmet k doruceni je ve tvem inventari. Odevzdej ho cilovemu obchodnikovi.","Der Liefergegenstand ist in deinem Inventar. Bringe ihn zum Zielhaendler.","Предмет доставки находится в вашем инвентаре. Передайте его нужному торговцу.","Przedmiot dostawy jest w twoim ekwipunku. Dostarcz go do docelowego handlarza.","A szallitando targy a leltaradban van. Add le a cel kereskedonel.","L'oggetto da consegnare e nel tuo inventario. Consegnalo al commerciante di destinazione.","El objeto de entrega esta en tu inventario. Entregalo al comerciante de destino.","L'objet a livrer est dans votre inventaire. Remettez-le au marchand cible.","交付物品在你的库存中。将它交给目标商人。","配達アイテムはインベントリにあります。対象のトレーダーに届けてください。","O item de entrega está no inventário. Entregue ao NPC de destino.","交付物品在你的库存中。将它交给目标商人。"
"QuestTrader_ADMIN_CONNECTED","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Connected","Conectado","Connected"
"QuestTrader_ADMIN_YES","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","sim","yes"
"QuestTrader_ADMIN_POSITION","Position","Position","Position","Position","Position","Position","Position","Position","Position","Position","Position","Position","Posi??o","Position"
"QuestTrader_ADMIN_DB_FILE","DB file","DB file","DB file","DB file","DB file","DB file","DB file","DB file","DB file","DB file","DB file","DB file","Arquivo DB","DB file"
"QuestTrader_ADMIN_HISTORY_FILE","History file","History file","History file","History file","History file","History file","History file","History file","History file","History file","History file","History file","Hist?rico","History file"
"QuestTrader_ADMIN_SUMMARY","Summary","Summary","Summary","Summary","Summary","Summary","Summary","Summary","Summary","Summary","Summary","Summary","Resumo","Summary"
"QuestTrader_ADMIN_DB_SAVED","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests saved in DB","Quests salvas na DB","Quests saved in DB"
"QuestTrader_ADMIN_HISTORY_COMPLETED","Quests completed in history","Quests completed in history","Quests completed in history","Quests completed in history","Quests completed in history","Quests completed in history","Quests completed in history","Quests completed in history","Quests completed in history","Quests completed in history","Quests completed in history","Quests completed in history","Quests conclu?das no hist?rico","Quests completed in history"
"QuestTrader_ADMIN_SAVED_STATES","Saved states","Saved states","Saved states","Saved states","Saved states","Saved states","Saved states","Saved states","Saved states","Saved states","Saved states","Saved states","Estados salvos","Saved states"
"QuestTrader_ADMIN_NO_SAVED_QUESTS","No saved quests.","No saved quests.","No saved quests.","No saved quests.","No saved quests.","No saved quests.","No saved quests.","No saved quests.","No saved quests.","No saved quests.","No saved quests.","No saved quests.","Nenhuma quest salva.","No saved quests."
"QuestTrader_ADMIN_MORE_SAVED_QUESTS","more saved quests","more saved quests","more saved quests","more saved quests","more saved quests","more saved quests","more saved quests","more saved quests","more saved quests","more saved quests","more saved quests","more saved quests","quests salvas restantes","more saved quests"
"QuestTrader_ADMIN_RECENT_COMPLETED","Recent completed quests","Recent completed quests","Recent completed quests","Recent completed quests","Recent completed quests","Recent completed quests","Recent completed quests","Recent completed quests","Recent completed quests","Recent completed quests","Recent completed quests","Recent completed quests","?ltimas conclu?das","Recent completed quests"
"QuestTrader_ADMIN_NO_HISTORY","No completion history registered.","No completion history registered.","No completion history registered.","No completion history registered.","No completion history registered.","No completion history registered.","No completion history registered.","No completion history registered.","No completion history registered.","No completion history registered.","No completion history registered.","No completion history registered.","Nenhuma conclus?o registrada.","No completion history registered."
"QuestTrader_ADMIN_DETAILS_REDUCED","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Details reduced to keep the admin panel light.","Detalhes reduzidos para manter o painel leve.","Details reduced to keep the admin panel light."
"QuestTrader_ADMIN_UNKNOWN","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Desconhecido","Unknown"
"QuestTrader_ADMIN_NO_OBJECTIVES","no objectives","no objectives","no objectives","no objectives","no objectives","no objectives","no objectives","no objectives","no objectives","no objectives","no objectives","no objectives","sem objetivos","no objectives"
"QuestTrader_ACTION_TALK","Talk","Talk","Talk","Talk","Talk","Talk","Talk","Talk","Talk","Talk","Talk","Talk","Falar","Talk"
"QuestTrader_TOAST_INCOMPLETE","Incomplete","Incomplete","Incomplete","Incomplete","Incomplete","Incomplete","Incomplete","Incomplete","Incomplete","Incomplete","Incomplete","Incomplete","Incompleto","Incomplete"
"QuestTrader_ADMIN_PLAYERS_LOAD_FAILED","Failed to load players.","Failed to load players.","Failed to load players.","Failed to load players.","Failed to load players.","Failed to load players.","Failed to load players.","Failed to load players.","Failed to load players.","Failed to load players.","Failed to load players.","Failed to load players.","Falha ao carregar jogadores.","Failed to load players."
"QuestTrader_ADMIN_NO_ONLINE_PLAYERS","No players online.","No players online.","No players online.","No players online.","No players online.","No players online.","No players online.","No players online.","No players online.","No players online.","No players online.","No players online.","Nenhum jogador online.","No players online."
"QuestTrader_ADMIN_NO_LOGS","No logs found.","No logs found.","No logs found.","No logs found.","No logs found.","No logs found.","No logs found.","No logs found.","No logs found.","No logs found.","No logs found.","No logs found.","Nenhum log encontrado.","No logs found."
"QuestTrader_ADMIN_HISTORY_TITLE","History","History","History","History","History","History","History","History","History","History","History","History","Histórico","History"
"QuestTrader_ADMIN_HISTORY_LOADING","Loading history...","Loading history...","Loading history...","Loading history...","Loading history...","Loading history...","Loading history...","Loading history...","Loading history...","Loading history...","Loading history...","Loading history...","Carregando histórico...","Loading history..."
"QuestTrader_ADMIN_HISTORY_EMPTY","No history found.","No history found.","No history found.","No history found.","No history found.","No history found.","No history found.","No history found.","No history found.","No history found.","No history found.","No history found.","Nenhum histórico encontrado.","No history found."
